scn_name,bus0,bus1,carrier,p_nom,p_nom_extendable,p_nom_max,capital_cost,length,type,efficiency,p_nom_min,p_min_pu,marginal_cost,p_nom_opt,country,build_year,lifetime,min_up_time,min_down_time,up_time_before,down_time_before,p_nom_mod,marginal_cost_quadratic,stand_by_cost,start_up_cost,shut_down_cost,ramp_limit_start_up,ramp_limit_shut_down,p_set,p_max_pu,terrain_factor,committable,ramp_limit_up,ramp_limit_down
eGon2035,34,81461,power_to_H2,0.0,True,inf,3365.810502283105,0.0,,0.6666,0.0,0.0,0.0,0.1083500193519086,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,34,81465,power_to_H2,0.0,True,inf,3647.910324708269,0.0,,0.6666,0.0,0.0,0.0,0.0261961733417406,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,34,81525,power_to_H2,0.0,True,1.0,1372.6909325666215,0.0,,0.7,0.0,0.0,0.0,0.2808483968703377,,0,31.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,34,81528,power_to_H2,0.0,True,9.0,1372.6909325666215,0.0,,0.7,0.0,0.0,0.0,8.999957932300157,,0,31.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,34,81561,power_to_H2,0.0,True,1.0,1372.6909325666215,0.0,,0.7,0.0,0.0,0.0,0.9999588516472812,,0,31.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,34,81565,power_to_H2,0.0,True,2.0,1372.6909325666215,0.0,,0.7,0.0,0.0,0.0,1.9970785513692937,,0,31.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,34,81983,central_heat_pump,0.3450124730593799,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.3450124730593799,,0,,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,34,81983,central_resistive_heater,0.4178209012483889,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.4178209012483889,,0,,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,34,81983,power_to_Heat,0.0,True,inf,1856.5266679350584,0.0,,0.8805,0.0,0.0,0.0,0.7333095970268066,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,34,82010,power_to_Heat,0.0,True,inf,1841.52397260274,0.0,,0.8805,0.0,0.0,0.0,0.0028263544240707,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,34,82026,central_heat_pump,0.1726114996523834,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.1726114996523834,,0,,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,34,82026,central_resistive_heater,0.2200986143760385,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.2200986143760385,,0,,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,34,82026,power_to_Heat,0.0,True,inf,1836.6152968036529,0.0,,0.8805,0.0,0.0,0.0,173.77949892595294,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,34,82040,central_heat_pump,0.1349476452673158,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.1349476452673158,,0,inf,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,34,82040,central_resistive_heater,0.1704192634892402,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.1704192634892402,,0,,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,34,82040,power_to_Heat,0.0,True,inf,1879.8325722983257,0.0,,0.8805,0.0,0.0,0.0,10.24181321604422,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,34,82064,central_heat_pump,1.7857929345591714,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,1.7857929345591714,,0,inf,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,34,82064,central_resistive_heater,0.7317355691666607,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.7317355691666607,,0,,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,34,82064,power_to_Heat,0.0,True,inf,1842.774923896499,0.0,,0.8805,0.0,0.0,0.0,43.96163330873669,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,35,42084,dsm,108.0218014519283,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,108.0218014519283,,0,,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,35,51015,central_resistive_heater,0.005232671413822,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.005232671413822,,0,inf,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,35,51015,power_to_Heat,0.0,True,inf,1857.933789954338,0.0,,0.8805,0.0,0.0,0.0,0.1736134497289703,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,35,51243,power_to_Heat,0.0,True,inf,1835.2168949771687,0.0,,0.8805,0.0,0.0,0.0,0.1148481667588057,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,35,51363,central_heat_pump,0.0625026685474225,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.0625026685474225,,0,inf,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,35,51363,central_resistive_heater,0.040771925674974,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.040771925674974,,0,inf,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,35,51363,power_to_Heat,0.0,True,inf,1946.5182648401824,0.0,,0.8805,0.0,0.0,0.0,0.6315605536211225,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,35,51392,power_to_Heat,0.0,True,inf,1839.0410958904108,0.0,,0.8805,0.0,0.0,0.0,0.1234324387687693,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,35,51414,central_resistive_heater,0.0991289207617184,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.0991289207617184,,0,inf,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,35,51414,power_to_Heat,0.0,True,inf,1849.6004566210045,0.0,,0.8805,0.0,0.0,0.0,0.0068959855356542,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,35,51447,power_to_Heat,0.0,True,inf,1837.1575342465756,0.0,,0.8805,0.0,0.0,0.0,0.0063667914860702,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,35,52056,rural_heat_pump,1009.451859954714,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,1009.451859954714,,0,,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,35,70675,BEV charger,1697.894777238369,False,inf,0.0,0.0,,0.9000000000000001,0.0,0.0,0.0,1697.894777238369,,0,,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
